"","X2010","X2014","countryName"
"73527",-10,-10,"Afghanistan"
"75080",-10,-10,"Albania"
"76633",-10,-10,"Algeria"
"78186",-10,-10,"American Samoa"
"79739",-10,-10,"Andorra"
"81292",-10,-10,"Angola"
"82845",-10,-10,"Antigua and Barbuda"
"84398",44.5,42.7,"Argentina"
"85951",31.1,31.5,"Armenia"
"87504",-10,-10,"Aruba"
"89057",34.7,-10,"Australia"
"90610",30.3,30.5,"Austria"
"92163",-10,-10,"Azerbaijan"
"93716",-10,-10,"Bahamas, The"
"95269",-10,-10,"Bahrain"
"96822",32.1,-10,"Bangladesh"
"98375",-10,-10,"Barbados"
"99928",28.6,27.2,"Belarus"
"101481",28.4,28.1,"Belgium"
"103034",-10,-10,"Belize"
"104587",-10,-10,"Benin"
"106140",-10,-10,"Bermuda"
"107693",-10,-10,"Bhutan"
"109246",-10,48.4,"Bolivia"
"110799",-10,-10,"Bosnia and Herzegovina"
"112352",-10,-10,"Botswana"
"113905",-10,51.5,"Brazil"
"115458",-10,-10,"British Virgin Islands"
"117011",-10,-10,"Brunei Darussalam"
"118564",35.7,37.4,"Bulgaria"
"120117",-10,35.3,"Burkina Faso"
"121670",-10,-10,"Burundi"
"123223",-10,-10,"Cabo Verde"
"124776",-10,-10,"Cambodia"
"126329",-10,46.5,"Cameroon"
"127882",33.6,-10,"Canada"
"129435",-10,-10,"Cayman Islands"
"130988",-10,-10,"Central African Republic"
"132541",-10,-10,"Chad"
"134094",-10,-10,"Channel Islands"
"135647",-10,-10,"Chile"
"137200",-10,-10,"China"
"138753",55.5,53.5,"Colombia"
"140306",-10,-10,"Comoros"
"141859",-10,-10,"Congo, Dem. Rep."
"143412",-10,-10,"Congo, Rep."
"144965",48.1,48.5,"Costa Rica"
"146518",-10,-10,"Cote d'Ivoire"
"148071",32.4,32.2,"Croatia"
"149624",-10,-10,"Cuba"
"151177",-10,-10,"Curacao"
"152730",31.5,35.6,"Cyprus"
"154283",26.6,25.9,"Czech Republic"
"155836",27.3,28.5,"Denmark"
"157389",-10,-10,"Djibouti"
"158942",-10,-10,"Dominica"
"160495",47.2,44.5,"Dominican Republic"
"162048",49.3,45.4,"Ecuador"
"163601",31.5,-10,"Egypt, Arab Rep."
"165154",44.5,41.8,"El Salvador"
"166707",-10,-10,"Equatorial Guinea"
"168260",-10,-10,"Eritrea"
"169813",32,34.6,"Estonia"
"171366",33.2,-10,"Ethiopia"
"172919",-10,-10,"Faroe Islands"
"174472",-10,-10,"Fiji"
"176025",27.7,26.8,"Finland"
"177578",33.7,32.3,"France"
"179131",-10,-10,"French Polynesia"
"180684",-10,-10,"Gabon"
"182237",-10,-10,"Gambia, The"
"183790",42.1,40.1,"Georgia"
"185343",30.7,-10,"Germany"
"186896",-10,-10,"Ghana"
"188449",-10,-10,"Gibraltar"
"190002",34.1,35.8,"Greece"
"191555",-10,-10,"Greenland"
"193108",-10,-10,"Grenada"
"194661",-10,-10,"Guam"
"196214",-10,48.7,"Guatemala"
"197767",-10,-10,"Guinea"
"199320",50.7,-10,"Guinea-Bissau"
"200873",-10,-10,"Guyana"
"202426",-10,-10,"Haiti"
"203979",53.4,51,"Honduras"
"205532",-10,-10,"Hong Kong SAR, China"
"207085",29.4,30.9,"Hungary"
"208638",26.2,25.6,"Iceland"
"210191",-10,-10,"India"
"211744",-10,-10,"Indonesia"
"213297",-10,38.8,"Iran, Islamic Rep."
"214850",-10,-10,"Iraq"
"216403",32.3,31.9,"Ireland"
"217956",-10,-10,"Isle of Man"
"219509",42.5,-10,"Israel"
"221062",34.3,34.7,"Italy"
"222615",-10,-10,"Jamaica"
"224168",-10,-10,"Japan"
"225721",33.7,-10,"Jordan"
"227274",28.6,26.5,"Kazakhstan"
"228827",-10,-10,"Kenya"
"230380",-10,-10,"Kiribati"
"231933",-10,-10,"Korea, Dem. People�s Rep."
"233486",32,-10,"Korea, Rep."
"235039",33.3,-10,"Kosovo"
"236592",-10,-10,"Kuwait"
"238145",30.1,26.8,"Kyrgyz Republic"
"239698",-10,-10,"Lao PDR"
"241251",35,35.1,"Latvia"
"242804",-10,-10,"Lebanon"
"244357",54.2,-10,"Lesotho"
"245910",-10,33.2,"Liberia"
"247463",-10,-10,"Libya"
"249016",-10,-10,"Liechtenstein"
"250569",33.6,37.7,"Lithuania"
"252122",30.5,31.2,"Luxembourg"
"253675",-10,-10,"Macao SAR, China"
"255228",42.8,36.9,"Macedonia, FYR"
"256781",42.4,-10,"Madagascar"
"258334",46.1,-10,"Malawi"
"259887",-10,-10,"Malaysia"
"261440",-10,-10,"Maldives"
"262993",-10,-10,"Mali"
"264546",-10,-10,"Malta"
"266099",-10,-10,"Marshall Islands"
"267652",-10,32.4,"Mauritania"
"269205",-10,-10,"Mauritius"
"270758",48.1,48.2,"Mexico"
"272311",-10,-10,"Micronesia, Fed. Sts."
"273864",32,26.8,"Moldova"
"275417",-10,-10,"Monaco"
"276970",33.1,32,"Mongolia"
"278523",28.9,31.9,"Montenegro"
"280076",-10,-10,"Morocco"
"281629",-10,-10,"Mozambique"
"283182",-10,-10,"Myanmar"
"284735",-10,-10,"Namibia"
"286288",-10,-10,"Nauru"
"287841",32.8,-10,"Nepal"
"289394",27.9,28.6,"Netherlands"
"290947",-10,-10,"New Caledonia"
"292500",-10,-10,"New Zealand"
"294053",-10,46.6,"Nicaragua"
"295606",-10,34,"Niger"
"297159",-10,-10,"Nigeria"
"298712",-10,-10,"Northern Mariana Islands"
"300265",25.7,26.8,"Norway"
"301818",-10,-10,"Oman"
"303371",29.8,-10,"Pakistan"
"304924",-10,-10,"Palau"
"306477",51.9,50.7,"Panama"
"308030",-10,-10,"Papua New Guinea"
"309583",51.8,51.7,"Paraguay"
"311136",46.2,44.1,"Peru"
"312689",-10,-10,"Philippines"
"314242",33.2,32.1,"Poland"
"315795",35.8,35.6,"Portugal"
"317348",-10,-10,"Puerto Rico"
"318901",-10,-10,"Qatar"
"320454",28.2,-10,"Romania"
"322007",39.5,39.9,"Russian Federation"
"323560",51.3,-10,"Rwanda"
"325113",-10,-10,"Samoa"
"326666",-10,-10,"San Marino"
"328219",30.8,-10,"Sao Tome and Principe"
"329772",-10,-10,"Saudi Arabia"
"331325",-10,-10,"Senegal"
"332878",29.6,-10,"Serbia"
"334431",-10,-10,"Seychelles"
"335984",-10,-10,"Sierra Leone"
"337537",-10,-10,"Singapore"
"339090",-10,-10,"Sint Maarten (Dutch part)"
"340643",27.3,26.1,"Slovak Republic"
"342196",24.9,25.7,"Slovenia"
"343749",-10,-10,"Solomon Islands"
"345302",-10,-10,"Somalia"
"346855",-10,-10,"South Africa"
"348408",-10,-10,"South Sudan"
"349961",35.3,36,"Spain"
"351514",-10,-10,"Sri Lanka"
"353067",-10,-10,"St. Kitts and Nevis"
"354620",-10,-10,"St. Lucia"
"356173",-10,-10,"St. Martin (French part)"
"357726",-10,-10,"St. Vincent and the Grenadines"
"359279",-10,-10,"Sudan"
"360832",-10,-10,"Suriname"
"362385",-10,-10,"Swaziland"
"363938",26.5,27.2,"Sweden"
"365491",32.5,-10,"Switzerland"
"367044",-10,-10,"Syrian Arab Republic"
"368597",-10,30.8,"Tajikistan"
"370150",-10,-10,"Tanzania"
"371703",39.4,-10,"Thailand"
"373256",-10,-10,"Timor-Leste"
"374809",-10,-10,"Togo"
"376362",-10,-10,"Tonga"
"377915",-10,-10,"Trinidad and Tobago"
"379468",35.8,-10,"Tunisia"
"381021",38.8,41.2,"Turkey"
"382574",-10,-10,"Turkmenistan"
"384127",-10,-10,"Turks and Caicos Islands"
"385680",39.1,-10,"Tuvalu"
"387233",-10,-10,"Uganda"
"388786",24.8,24.1,"Ukraine"
"390339",-10,-10,"United Arab Emirates"
"391892",34.4,34.1,"United Kingdom"
"393445",40.4,-10,"United States"
"394998",45.3,41.6,"Uruguay"
"396551",-10,-10,"Uzbekistan"
"398104",37.3,-10,"Vanuatu"
"399657",-10,-10,"Venezuela, RB"
"401210",39.3,34.8,"Vietnam"
"402763",-10,-10,"Virgin Islands (U.S.)"
"404316",36.1,-10,"West Bank and Gaza"
"405869",-10,36.7,"Yemen, Rep."
"407422",55.6,-10,"Zambia"
"408975",-10,-10,"Zimbabwe"
