"","_1980","_1981","_1982","_1983","_1984","_1985","_1986","_1987","_1988","_1989","_1990","_1991","_1992","_1993","_1994","_1995","_1996","_1997","_1998","_1999","_2000","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_2009","_2010","_2011","_2012","_2013","_2014","_2015","_2016","_2017","countryName"
"1",-100,-100,-100,-100,-100,-100,-100,-100,40.1,-100,-100,-100,-100,-100,-100,35.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,"Algeria"
"2",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,51.96,-100,-100,-100,-100,-100,-100,-100,42.72,46.6666666666667,-100,-100,-100,-100,-100,-100,-100,-100,"Angola"
"3",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,38.58,-100,-100,-100,-100,-100,-100,-100,43.44,-100,-100,-100,-100,-100,-100,"Benin"
"4",-100,-100,-100,-100,-100,54.21,52.775,-100,-100,-100,-100,-100,-100,60.79,48.525,-100,-100,-100,-100,-100,-100,-100,64.73,59.95,-100,-100,-100,-100,-100,60.46,48.1,-100,-100,-100,-100,-100,-100,-100,"Botswana"
"5",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,39.76,-100,-100,-100,-100,35.3,-100,-100,-100,"Burkina Faso"
"6",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,33.33,-100,-100,-100,-100,-100,42.35,-100,-100,-100,-100,-100,-100,-100,33.36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,"Burundi"
"7",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,"Cabo Verde"
"8",-100,-100,-100,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,54.4,-100,-100,-100,-100,42.14,-100,-100,-100,-100,-100,37.305,-100,-100,-100,-100,-100,-100,46.54,-100,-100,-100,"Cameroon"
"9",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,58.165,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,43.61,-100,-100,-100,-100,56.24,-100,-100,-100,-100,-100,-100,-100,-100,-100,"Central African Republic"
"10",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,39.82,-100,-100,-100,-100,-100,-100,-100,43.32,-100,-100,-100,-100,-100,-100,"Chad"
"11",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,55.93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,"Comoros"
"12",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,"Democratic Republic of the Congo"
"13",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,"Republic of the Congo"
"14",-100,-100,-100,-100,-100,50.25,43.8,44.8,42.8,-100,-100,-100,39.39,36.9,-100,44.3,-100,-100,39.88,-100,-100,-100,43.77,-100,-100,-100,-100,-100,43.94,-100,-100,-100,-100,-100,-100,-100,-100,-100,"Côte d'Ivoire"
"15",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,44.8,-100,-100,-100,-100,-100,40.45,-100,-100,-100,-100,-100,-100,-100,-100,-100,45.13,44.13,-100,-100,-100,-100,"Djibouti"
